stock_id,res,ct,year,,,,,,
Cetengraulis mysticetus,high,126420.00,1987,,,,,,
Cetengraulis mysticetus,high,74246.00,1986,,,,,,
Cetengraulis mysticetus,high,5788.00,1985,,,,,,
Cetengraulis mysticetus,high,54029.00,1984,,,,,,
Cetengraulis mysticetus,high,40384.00,1983,,,,,,
Cetengraulis mysticetus,high,2832.00,1982,,,,,,
Cetengraulis mysticetus,high,2832.00,1981,,,,,,
Engraulis ringens,medium,2.00,2013,,,,,,
Engraulis ringens,medium,12109.00,2012,,,,,,
Engraulis ringens,medium,2977.00,2011,,,,,,
Engraulis ringens,medium,13348.00,2010,,,,,,
Engraulis ringens,medium,20152.00,2009,,,,,,
Engraulis ringens,medium,44565.89,2008,,,,,,
Engraulis ringens,medium,59309.00,2007,,,,,,
Engraulis ringens,medium,76606.00,2006,,,,,,
Engraulis ringens,medium,39908.00,2005,,,,,,
Engraulis ringens,medium,11273.00,2004,,,,,,
Engraulis ringens,medium,33382.00,2003,,,,,,
Engraulis ringens,medium,71013.00,2002,,,,,,
Engraulis ringens,medium,2065.00,2001,,,,,,
Scomber japonicus,low,88793.00,2013,,,,,,
Scomber japonicus,low,51838.00,2012,,,,,,
Scomber japonicus,low,31799.00,2011,,,,,,
Scomber japonicus,low,52751.24,2010,,,,,,
Scomber japonicus,low,36679.00,2009,,,,,,
Scomber japonicus,low,21758.30,2008,,,,,,
Scomber japonicus,low,43171.00,2007,,,,,,
Scomber japonicus,low,37664.00,2006,,,,,,
Scomber japonicus,low,115406.00,2005,,,,,,
Scomber japonicus,low,51806.00,2004,,,,,,
Scomber japonicus,low,33272.00,2003,,,,,,
Scomber japonicus,low,17074.00,2002,,,,,,
Scomber japonicus,low,85248.00,2001,,,,,,
Scomber japonicus,low,83923.00,2000,,,,,,
Scomber japonicus,low,28307.00,1999,,,,,,
Scomber japonicus,low,44716.00,1998,,,,,,
Scomber japonicus,low,192181.00,1997,,,,,,
Scomber japonicus,low,79484.00,1996,,,,,,
Scomber japonicus,low,63577.00,1995,,,,,,
Scomber japonicus,low,38991.00,1994,,,,,,
Scomber japonicus,low,50980.00,1993,,,,,,
Scomber japonicus,low,25651.00,1992,,,,,,
Scomber japonicus,low,55023.00,1991,,,,,,
Scomber japonicus,low,78639.00,1990,,,,,,
Scomber japonicus,low,141333.00,1989,,,,,,
Scomber japonicus,low,255548.00,1988,,,,,,
Scomber japonicus,low,149302.00,1987,,,,,,
Scomber japonicus,low,274852.00,1986,,,,,,
Scomber japonicus,low,397863.00,1985,,,,,,
Scomber japonicus,low,396913.00,1984,,,,,,
Scomber japonicus,low,252667.00,1983,,,,,,
Scomber japonicus,low,589375.00,1982,,,,,,
Scomber japonicus,low,448088.00,1981,,,,,,
Trachurus murphyi,low,3563.00,2013,,,,,,
Trachurus murphyi,low,77.00,2012,,,,,,
Trachurus murphyi,low,69373.00,2011,,,,,,
Trachurus murphyi,low,4612.79,2010,,,,,,
Trachurus murphyi,low,1934.00,2009,,,,,,
Trachurus murphyi,low,1477.50,2008,,,,,,
Trachurus murphyi,low,927.00,2007,,,,,,
Trachurus murphyi,low,1145.74,2006,,,,,,
Trachurus murphyi,low,979.86,2005,,,,,,
Trachurus murphyi,low,813.98,2004,,,,,,
Trachurus murphyi,low,648.10,2003,,,,,,
Trachurus murphyi,low,604.00,2002,,,,,,
Trachurus murphyi,low,133969.00,2001,,,,,,
Trachurus murphyi,low,7122.00,2000,,,,,,
Trachurus murphyi,low,19072.00,1999,,,,,,
Trachurus murphyi,low,25900.00,1998,,,,,,
Trachurus murphyi,low,30302.00,1997,,,,,,
Trachurus murphyi,low,56782.00,1996,,,,,,
Trachurus murphyi,low,174393.00,1995,,,,,,
Trachurus murphyi,low,36575.00,1994,,,,,,
Trachurus murphyi,low,2673.00,1993,,,,,,
Trachurus murphyi,low,15022.00,1992,,,,,,
Trachurus murphyi,low,45313.00,1991,,,,,,
Trachurus murphyi,low,4144.00,1990,,,,,,
Chloroscombrus orqueta,high,525.79,2013,,,,,,
Chloroscombrus orqueta,high,221.43,2012,,,,,,
Chloroscombrus orqueta,high,356.26,2011,,,,,,
Chloroscombrus orqueta,high,584.51,2010,,,,,,
Chloroscombrus orqueta,high,10409.73,2009,,,,,,
Chloroscombrus orqueta,high,7692.74,2008,,,,,,
Chloroscombrus orqueta,high,793132.25,2007,,,,,,
Chloroscombrus orqueta,high,7025.73,2006,,,,,,
Chloroscombrus orqueta,high,4909.41,2005,,,,,,
Chloroscombrus orqueta,high,10380.10,2004,,,,,,
Decapterus macrosoma,high,16113.30,2013,,,,,,
Decapterus macrosoma,high,6997.42,2012,,,,,,
Decapterus macrosoma,high,6841.52,2011,,,,,,
Decapterus macrosoma,high,21097.39,2010,,,,,,
Decapterus macrosoma,high,41167.81,2009,,,,,,
Decapterus macrosoma,high,37800.06,2008,,,,,,
Decapterus macrosoma,high,798959.67,2007,,,,,,
Decapterus macrosoma,high,5239.38,2006,,,,,,
Decapterus macrosoma,high,644.83,2005,,,,,,
Decapterus macrosoma,high,1121.71,2004,,,,,,
Fistularia corneta,medium,4752.42,2013,,,,,,
Fistularia corneta,medium,2851.04,2012,,,,,,
Fistularia corneta,medium,4464.05,2011,,,,,,
Fistularia corneta,medium,6443.37,2010,,,,,,
Fistularia corneta,medium,5191.26,2009,,,,,,
Fistularia corneta,medium,2717.62,2008,,,,,,
Fistularia corneta,medium,31505.41,2007,,,,,,
Fistularia corneta,medium,12399.61,2006,,,,,,
Fistularia corneta,medium,1434.27,2005,,,,,,
Fistularia corneta,medium,4534.50,2004,,,,,,
Peprilus medius,high,1039.66,2013,,,,,,
Peprilus medius,high,183.40,2012,,,,,,
